Activity Period,Operating Airline,GEO Summary,Passenger Count
201806,Virgin Atlantic,International,34531
201905,British Airways,International,41302
201807,Air Canada,International,112260
201810,Swiss International,International,18698
201909,Norwegian Air UK Ltd,International,13762
201803,ABC Aerolineas S.A. de C.V. dba Interjet,International,2302
201902,"COPA Airlines, Inc.",International,14102
201808,Swiss International,International,19711
201908,Lufthansa German Airlines,International,45088
201805,Air Pacific Limited dba Fiji Airways,International,3757
201812,Cathay Pacific,International,46699
201812,Jazz Aviation,International,14740
201902,ABC Aerolineas S.A. de C.V. dba Interjet,International,8471
201803,"COPA Airlines, Inc.",International,19414
201905,United Airlines,International,420180
201908,Singapore Airlines,International,31167
201906,Air India Limited,International,17805
201812,Air France,International,14767
201907,Hong Kong Airlines Limited,International,9593
201904,Norwegian Air UK Ltd,International,13679
201901,China Airlines,International,20389
201806,Thomas Cook Airlines,International,6646
201811,Finnair,International,3163
201901,Emirates,International,27365
201901,TACA,International,15324
201903,Frontier Airlines,Domestic,25264
201909,Cathay Pacific,International,31348
201901,Turkish Airlines,International,19266
201809,Volaris Airlines,International,4261
201906,Philippine Airlines,International,34113
201909,Jazz Aviation,International,11858
201802,Swiss International,International,12810
201901,EVA Airways,International,58262
201806,American Airlines,Domestic,360139
201806,Sun Country Airlines,Domestic,16284
201803,Korean Air Lines,International,25045
201803,SkyWest Airlines,Domestic,339898
201905,Aer Lingus,International,16198
201902,Air China,International,17872
201904,Air France,International,32777
201805,KLM Royal Dutch Airlines,International,28448
201909,Air France,International,36451
201809,Frontier Airlines,Domestic,26178
201805,SkyWest Airlines,International,13834
201806,Compass Airlines,Domestic,45646
201904,Jazz Aviation,International,15776
201803,Air China,International,18731
201806,Iberia,International,6710
201806,Southwest Airlines,Domestic,345778
201906,Hawaiian Airlines,Domestic,31437
201908,Horizon Air,Domestic,31498
201901,United Airlines,Domestic,1218683
201905,Qantas Airways,International,22118
201906,French Bee,International,12766
201905,Air New Zealand,International,12816
201907,Alaska Airlines,International,18303
201902,Korean Air Lines,International,25633
201904,Cathay Pacific,International,44124
201902,SkyWest Airlines,Domestic,294901
201903,China Airlines,International,18640
201909,United Airlines,International,402721
201807,Aeromexico,International,28236
201812,Qantas Airways,International,21551
201803,Hong Kong Airlines Limited,International,2207
201812,Air New Zealand,International,15942
201906,Thomas Cook Airlines,International,7589
201908,JetBlue Airways,Domestic,126687
201903,Emirates,International,25942
201802,Sun Country Airlines,International,1519
201806,Air India Limited,International,16841
201904,British Airways,International,39407
201804,Swiss International,International,18701
201807,SAS Airlines,International,14846
201907,"COPA Airlines, Inc.",International,17280
201805,China Eastern,International,20858
201809,China Airlines,International,16732
201812,Aer Lingus,International,12854
201902,Hong Kong Airlines Limited,International,8933
201909,British Airways,International,37884
201905,Norwegian Air UK Ltd,International,13736
201809,Emirates,International,24613
201907,ABC Aerolineas S.A. de C.V. dba Interjet,International,11705
201906,Virgin Atlantic,International,26371
201904,United Airlines,International,383031
201906,Iberia,International,11346
201906,Southwest Airlines,Domestic,298397
201905,Air France,International,39570
201806,Hawaiian Airlines,Domestic,31996
201803,Alaska Airlines,International,10157
201906,Compass Airlines,Domestic,23191
201810,Finnair,International,4173
201903,United Airlines,Domestic,1404212
201806,French Bee,International,10721
201904,Aer Lingus,International,14777
201907,Air China,International,24014
201808,Finnair,International,5924
201805,Asiana Airlines,International,14694
201809,TACA,International,11721
201809,Turkish Airlines,International,19367
201812,United Airlines,International,366411
201901,Volaris Airlines,International,3726
201909,Air New Zealand,International,12435
201909,Qantas Airways,International,20812
201809,EVA Airways,International,41335
201904,Qantas Airways,International,22452
201904,Air New Zealand,International,12192
201906,Sun Country Airlines,Domestic,31672
201805,Alaska Airlines,Domestic,615359
201905,Cathay Pacific,International,46747
201805,Delta Air Lines,Domestic,372765
201902,Alaska Airlines,International,17278
201805,Japan Airlines,International,12735
201809,United Airlines,Domestic,1497496
201907,Korean Air Lines,International,31332
201805,China Southern,International,16698
201905,Jazz Aviation,International,17853
201907,SkyWest Airlines,Domestic,371597
201812,British Airways,International,31613
201901,Frontier Airlines,Domestic,23673
201903,TACA,International,13659
201803,WOW Air,International,7001
201903,Turkish Airlines,International,19386
201909,Aer Lingus,International,17064
201907,WestJet Airlines,International,29498
201805,All Nippon Airways,International,12941
201811,Swiss International,International,17672
201906,American Airlines,Domestic,365386
201806,Philippine Airlines,International,27012
201903,EVA Airways,International,47653
201905,Air Canada,International,70690
201807,British Airways,International,42895
201808,Alaska Airlines,International,22806
201904,SAS Airlines,International,10844
201906,Asiana Airlines,International,17399
201804,SkyWest Airlines,Domestic,287483
201810,Alaska Airlines,International,19049
201804,Korean Air Lines,International,25760
201806,KLM Royal Dutch Airlines,International,38239
201903,Horizon Air,Domestic,25778
201805,Iberia,International,5600
201805,Southwest Airlines,Domestic,330833
201804,WestJet Airlines,International,1306
201805,Compass Airlines,Domestic,60560
201806,SkyWest Airlines,International,6274
201904,Aeromexico,International,25725
201811,"COPA Airlines, Inc.",International,16142
201803,Sun Country Airlines,International,771
201805,American Airlines,Domestic,340763
201906,All Nippon Airways,International,14265
201908,Frontier Airlines,Domestic,53525
201909,Aeromexico,International,23703
201804,Air China,International,17755
201807,United Airlines,International,433648
201809,Horizon Air,Domestic,11338
201906,Delta Air Lines,Domestic,443905
201906,Japan Airlines,International,14023
201909,SAS Airlines,International,13999
201811,ABC Aerolineas S.A. de C.V. dba Interjet,International,4945
201906,China Southern,International,21242
201808,WOW Air,International,18850
201805,Sun Country Airlines,Domestic,17397
201810,WOW Air,International,11150
201906,Alaska Airlines,Domestic,520760
201810,Hong Kong Airlines Limited,International,9555
201808,Hong Kong Airlines Limited,International,11224
201811,Air China,International,19389
201802,Alaska Airlines,International,9546
201903,Singapore Airlines,International,29297
201805,Thomas Cook Airlines,International,4556
201809,Lufthansa German Airlines,International,43574
201804,ABC Aerolineas S.A. de C.V. dba Interjet,International,4083
201807,Aer Lingus,International,16541
201901,JetBlue Airways,Domestic,112321
201806,XL Airways France,International,2047
201812,SAS Airlines,International,10897
201806,Icelandair EHF,International,6308
201811,SkyWest Airlines,Domestic,347221
201811,Korean Air Lines,International,25372
201805,Virgin Atlantic,International,26714
201809,Singapore Airlines,International,26130
201908,El Al Israel Airlines LTD.,International,5717
201807,Qantas Airways,International,16067
201812,Aeromexico,International,30558
201903,Lufthansa German Airlines,International,40267
201807,Air New Zealand,International,18581
201804,"COPA Airlines, Inc.",International,18392
201906,China Eastern,International,20648
201907,Swiss International,International,18019
201802,WOW Air,International,5042
201806,Air Pacific Limited dba Fiji Airways,International,5235
201806,Japan Airlines,International,13928
201806,Delta Air Lines,Domestic,408862
201905,Aeromexico,International,26190
201806,China Southern,International,20594
201806,Alaska Airlines,Domestic,601818
201810,WestJet Airlines,International,12008
201808,WestJet Airlines,International,23822
201805,Philippine Airlines,International,27784
201908,Turkish Airlines,International,20528
201908,TACA,International,14548
201905,SAS Airlines,International,11482
201806,All Nippon Airways,International,14393
201810,Korean Air Lines,International,26301
201908,EVA Airways,International,54082
201804,Alaska Airlines,International,13750
201810,SkyWest Airlines,Domestic,303307
201904,Air Canada,International,62535
201808,Korean Air Lines,International,33104
201808,SkyWest Airlines,Domestic,319563
201901,Horizon Air,Domestic,22250
201805,French Bee,International,5031
201909,Air Canada,International,86435
201906,SkyWest Airlines,International,2624
201804,WOW Air,International,8632
201802,"COPA Airlines, Inc.",International,14255
201805,Hawaiian Airlines,Domestic,32256
201908,TAP Air Portugal,International,12537
201908,United Airlines,Domestic,1911838
201811,Hong Kong Airlines Limited,International,9723
201806,Asiana Airlines,International,17988
201808,Air China,International,19924
201906,KLM Royal Dutch Airlines,International,32312
201907,Finnair,International,8878
201810,Air China,International,18739
201810,ABC Aerolineas S.A. de C.V. dba Interjet,International,5963
201803,Swiss International,International,17578
201808,ABC Aerolineas S.A. de C.V. dba Interjet,International,5831
201901,Lufthansa German Airlines,International,38370
201809,JetBlue Airways,Domestic,123158
201906,Air Pacific Limited dba Fiji Airways,International,7016
201807,Air France,International,45716
201806,China Eastern,International,20854
201811,WOW Air,International,370
201906,Icelandair EHF,International,7999
201804,Hong Kong Airlines Limited,International,9586
201802,SkyWest Airlines,Domestic,323980
201907,Air Italy S.P.A,International,6621
201802,Korean Air Lines,International,24331
201908,China Airlines,International,19405
201807,Jazz Aviation,International,17053
201908,Emirates,International,28429
201807,Cathay Pacific,International,49666
201903,JetBlue Airways,Domestic,122424
201808,"COPA Airlines, Inc.",International,20107
201906,XL Airways France,International,2092
201810,"COPA Airlines, Inc.",International,15328
201902,Swiss International,International,14891
201805,Air India Limited,International,15494
201812,Air Canada,International,65676
201802,Air China,International,16876
201811,Alaska Airlines,International,17888
201901,Singapore Airlines,International,30880
201909,WestJet Airlines,International,20169
201803,Cathay Pacific,International,45709
201809,Icelandair EHF,International,6763
201803,Jazz Aviation,International,7647
201804,Virgin America,International,15027
201902,Air France,International,15022
201904,Air China,International,23304
201907,Aer Lingus,International,16998
201806,Singapore Airlines,International,28399
201909,Korean Air Lines,International,26047
201909,SkyWest Airlines,Domestic,255689
201812,ABC Aerolineas S.A. de C.V. dba Interjet,International,12627
201906,JetBlue Airways,Domestic,127198
201908,Thomas Cook Airlines,International,7929
201809,Air Pacific Limited dba Fiji Airways,International,3875
201803,Air France,International,20654
201907,Qantas Airways,International,27110
201907,Air New Zealand,International,12942
201905,Alaska Airlines,International,18978
201903,Icelandair EHF,International,6569
201902,Jazz Aviation,International,12627
201908,Virgin Atlantic,International,25671
201808,Air Canada,International,113600
201902,Cathay Pacific,International,40800
201904,Korean Air Lines,International,24623
201904,SkyWest Airlines,Domestic,352889
201804,SAS Airlines,International,12611
201807,Swiss International,International,19890
201810,Air Canada,International,83128
201806,Lufthansa German Airlines,International,43396
201812,"COPA Airlines, Inc.",International,19940
201909,Air China,International,22294
201804,Aeromexico,International,25016
201904,WestJet Airlines,International,1679
201809,XL Airways France,International,2361
201901,China Eastern,International,21516
201903,Air Pacific Limited dba Fiji Airways,International,3931
201812,Korean Air Lines,International,26535
201812,SkyWest Airlines,Domestic,340356
201805,Volaris Airlines,International,4890
201901,Asiana Airlines,International,17775
201909,ABC Aerolineas S.A. de C.V. dba Interjet,International,9894
201811,SAS Airlines,International,11280
201903,KLM Royal Dutch Airlines,International,17882
201806,Horizon Air,Domestic,12194
201908,Iberia,International,13138
201908,Southwest Airlines,Domestic,302179
201908,Compass Airlines,Domestic,21723
201811,Aeromexico,International,25555
201907,British Airways,International,41708
201903,SkyWest Airlines,International,9816
201904,"COPA Airlines, Inc.",International,14205
201812,Air China,International,19412
201909,"COPA Airlines, Inc.",International,14179
201901,All Nippon Airways,International,13806
201805,Frontier Airlines,Domestic,16789
201908,American Airlines,Domestic,353599
201905,Hong Kong Airlines Limited,International,10944
201802,Air Canada,International,69765
201809,KLM Royal Dutch Airlines,International,32126
201904,ABC Aerolineas S.A. de C.V. dba Interjet,International,11242
201901,Delta Air Lines,Domestic,274633
201901,Japan Airlines,International,12525
201901,China Southern,International,18383
201908,Sun Country Airlines,Domestic,35516
201901,Alaska Airlines,Domestic,424415
201809,SkyWest Airlines,International,4745
201907,United Airlines,International,496342
201906,Lufthansa German Airlines,International,44557
201909,Alaska Airlines,International,15959
201901,Air Pacific Limited dba Fiji Airways,International,5199
201903,China Eastern,International,19319
201905,Air China,International,24812
201901,Icelandair EHF,International,5216
201803,Qantas Airways,International,16140
201902,Aer Lingus,International,10581
201907,Air France,International,47487
201812,Hong Kong Airlines Limited,International,8198
201803,Air New Zealand,International,18208
201905,WestJet Airlines,International,22149
201805,Emirates,International,26550
201805,China Airlines,International,19398
201808,Aeromexico,International,24283
201806,JetBlue Airways,Domestic,146061
201809,China Eastern,International,19407
201810,Aeromexico,International,22434
201905,Korean Air Lines,International,28425
201905,SkyWest Airlines,Domestic,355491
201907,Jazz Aviation,International,20500
201803,Aer Lingus,International,14157
201902,Qantas Airways,International,19107
201902,Air New Zealand,International,13819
201804,Air Canada,International,74188
201810,SAS Airlines,International,13409
201906,Singapore Airlines,International,32078
201904,Alaska Airlines,International,16973
201907,Cathay Pacific,International,50005
201908,Air India Limited,International,16654
201808,SAS Airlines,International,13963
201903,Delta Air Lines,Domestic,328380
201903,Japan Airlines,International,13443
201803,United Airlines,International,324710
201903,China Southern,International,18437
201905,"COPA Airlines, Inc.",International,14989
201902,British Airways,International,29217
201909,Hong Kong Airlines Limited,International,10161
201903,Alaska Airlines,Domestic,474496
201805,EVA Airways,International,42363
201812,Alaska Airlines,International,17859
201903,All Nippon Airways,International,13815
201805,TACA,International,12300
201809,Asiana Airlines,International,14422
201805,Turkish Airlines,International,19210
201908,Philippine Airlines,International,26183
201811,Air Canada,International,64029
201802,Virgin America,International,17175
201803,British Airways,International,34897
201809,Delta Air Lines,Domestic,360904
201906,Horizon Air,Domestic,28881
201908,Hawaiian Airlines,Domestic,31360
201805,United Airlines,Domestic,1590995
201809,Japan Airlines,International,13083
201809,China Southern,International,16133
201809,Alaska Airlines,Domestic,468163
201905,ABC Aerolineas S.A. de C.V. dba Interjet,International,10991
201902,United Airlines,International,299376
201908,French Bee,International,11965
201802,Aeromexico,International,22160
201901,SkyWest Airlines,International,10127
201807,Finnair,International,7133
201904,Hong Kong Airlines Limited,International,9209
201907,Norwegian Air UK Ltd,International,13999
201809,All Nippon Airways,International,13395
201903,Asiana Airlines,International,15722
201802,SAS Airlines,International,9635
201901,KLM Royal Dutch Airlines,International,16094
201906,TACA,International,15653
201906,Turkish Airlines,International,19680
201806,Frontier Airlines,Domestic,23307
201906,EVA Airways,International,42021
201808,United Airlines,International,418218
201810,United Airlines,International,349946
201901,Philippine Airlines,International,28683
201903,American Airlines,Domestic,331558
201802,Qantas Airways,International,13325
201809,Compass Airlines,Domestic,44224
201903,Sun Country Airlines,Domestic,8173
201802,Air New Zealand,International,13976
201812,Finnair,International,802
201809,Iberia,International,5468
201809,Southwest Airlines,Domestic,302107
201811,Air France,International,16330
201904,Air Italy S.P.A,International,2871
201807,WOW Air,International,17556
201909,Air Italy S.P.A,International,5592
201905,Swiss International,International,18466
201807,Alaska Airlines,International,28461
201808,British Airways,International,41845
201908,KLM Royal Dutch Airlines,International,33435
201806,Volaris Airlines,International,5277
201809,American Airlines,Domestic,300049
201810,British Airways,International,40926
201903,Compass Airlines,Domestic,36354
201809,Sun Country Airlines,Domestic,9679
201811,Jazz Aviation,International,13996
201901,Hawaiian Airlines,Domestic,33681
201903,Iberia,International,5108
201903,Southwest Airlines,Domestic,268741
201908,SkyWest Airlines,International,432
201802,Aer Lingus,International,7254
201805,Horizon Air,Domestic,19917
201901,French Bee,International,8955
201906,TAP Air Portugal,International,8578
201906,United Airlines,Domestic,1688819
201811,Cathay Pacific,International,43100
201908,Icelandair EHF,International,7401
201903,Virgin Atlantic,International,23668
201909,Finnair,International,6824
201902,Aeromexico,International,22999
201802,United Airlines,International,275308
201810,Air New Zealand,International,16771
201810,Qantas Airways,International,21231
201808,Qantas Airways,International,15151
201803,Virgin America,International,18254
201804,Jazz Aviation,International,7597
201808,Air New Zealand,International,18250
201809,Thomas Cook Airlines,International,6226
201908,Air Pacific Limited dba Fiji Airways,International,6885
201805,Lufthansa German Airlines,International,40996
201804,Cathay Pacific,International,43651
201907,Air Canada,International,105257
201902,SAS Airlines,International,9612
201809,Virgin Atlantic,International,30513
201805,Singapore Airlines,International,26636
201803,Aeromexico,International,24459
201807,Hong Kong Airlines Limited,International,10869
201901,Air India Limited,International,16480
201802,British Airways,International,26633
201906,China Airlines,International,19909
201803,SAS Airlines,International,12376
201808,Aer Lingus,International,16384
201908,XL Airways France,International,9740
201904,Finnair,International,3867
201906,Emirates,International,28318
201804,Air France,International,26294
201810,Aer Lingus,International,14704
201901,Compass Airlines,Domestic,38956
201909,Swiss International,International,18709
201802,Jazz Aviation,International,5525
201903,Hawaiian Airlines,Domestic,31260
201905,Air Italy S.P.A,International,3639
201901,Iberia,International,4971
201901,Southwest Airlines,Domestic,240269
201806,United Airlines,Domestic,1725712
201811,Aer Lingus,International,13239
201903,French Bee,International,8363
201802,Cathay Pacific,International,39047
201807,Air China,International,18672
201804,United Airlines,International,298894
201809,Philippine Airlines,International,19102
201908,Asiana Airlines,International,16177
201811,Qantas Airways,International,19725
201901,Sun Country Airlines,Domestic,7826
201908,China Southern,International,21599
201809,Hawaiian Airlines,Domestic,28958
201811,Air New Zealand,International,14381
201908,Delta Air Lines,Domestic,470215
201908,Japan Airlines,International,13224
201802,Air France,International,13601
201908,Alaska Airlines,Domestic,533944
201807,WestJet Airlines,International,24422
201809,French Bee,International,11506
201906,Frontier Airlines,Domestic,52176
201908,All Nippon Airways,International,14659
201806,TACA,International,13378
201806,Turkish Airlines,International,19455
201804,British Airways,International,39030
201904,Swiss International,International,18052
201903,Philippine Airlines,International,20668
201807,Korean Air Lines,International,35876
201901,American Airlines,Domestic,298439
201806,EVA Airways,International,47349
201807,SkyWest Airlines,Domestic,336453
201810,Jazz Aviation,International,14957
201804,Qantas Airways,International,15178
201806,China Airlines,International,19329
201804,Air New Zealand,International,17443
201805,JetBlue Airways,Domestic,140842
201808,Jazz Aviation,International,16868
201902,Air Canada,International,62446
201808,Cathay Pacific,International,46656
201807,"COPA Airlines, Inc.",International,22956
201907,SAS Airlines,International,14554
201810,Cathay Pacific,International,40902
201806,Emirates,International,27264
201812,Swiss International,International,18346
201903,Air India Limited,International,15467
201811,British Airways,International,30632
201907,Aeromexico,International,37176
201905,Finnair,International,8192
201803,Air Canada,International,75200
201807,ABC Aerolineas S.A. de C.V. dba Interjet,International,4911
201804,Aer Lingus,International,13806
201908,China Eastern,International,21680
201810,Air France,International,24114
201808,Air France,International,46121
201901,Virgin Atlantic,International,20387
201809,Air India Limited,International,14466
201906,El Al Israel Airlines LTD.,International,2948
201811,United Airlines,International,337626
201806,ABC Aerolineas S.A. de C.V. dba Interjet,International,5354
201802,Japan Airlines,International,10634
201802,Delta Air Lines,Domestic,200195
201802,China Southern,International,13379
201803,Virgin Atlantic,International,22013
201802,Alaska Airlines,Domestic,110825
201808,China Eastern,International,21745
201809,Aeromexico,International,21476
201810,China Eastern,International,20139
201908,Air France,International,48522
201812,Singapore Airlines,International,30057
201802,All Nippon Airways,International,11431
201909,Horizon Air,Domestic,18038
201809,SAS Airlines,International,13508
201901,Air Canada,International,58854
201807,China Airlines,International,19677
201904,Horizon Air,Domestic,30432
201902,Virgin Atlantic,International,18962
201908,Jazz Aviation,International,21053
201907,Air India Limited,International,18061
201908,Cathay Pacific,International,42459
201804,Air Pacific Limited dba Fiji Airways,International,3394
201807,Emirates,International,29617
201811,SkyWest Airlines,International,16939
201903,Aeromexico,International,25104
201806,"COPA Airlines, Inc.",International,21630
201812,Lufthansa German Airlines,International,40814
201906,Hong Kong Airlines Limited,International,10107
201802,Asiana Airlines,International,16629
