Activity Period,Operating Airline,GEO Summary,Passenger Count
201903,SAS Airlines,International,12799
201811,KLM Royal Dutch Airlines,International,16700
201808,Delta Air Lines,Domestic,466523
201808,Japan Airlines,International,13508
201905,JetBlue Airways,Domestic,128451
201808,China Southern,International,21361
201909,Singapore Airlines,International,27891
201810,China Southern,International,20366
201803,American Airlines,Domestic,313567
201810,Delta Air Lines,Domestic,387804
201904,Lufthansa German Airlines,International,41722
201810,Japan Airlines,International,13313
201804,SkyWest Airlines,International,13394
201806,WestJet Airlines,International,22532
201810,Alaska Airlines,Domestic,512071
201812,Horizon Air,Domestic,16217
201907,Philippine Airlines,International,33734
201802,China Eastern,International,17726
201808,Alaska Airlines,Domestic,533426
201811,Air Pacific Limited dba Fiji Airways,International,3112
201807,TACA,International,14503
201902,Iberia,International,4231
201902,Southwest Airlines,Domestic,215223
201808,All Nippon Airways,International,14572
201807,Turkish Airlines,International,20212
201810,All Nippon Airways,International,13395
201902,Compass Airlines,Domestic,34537
201811,Icelandair EHF,International,7442
201803,Sun Country Airlines,Domestic,7532
201806,SkyWest Airlines,Domestic,322041
201807,EVA Airways,International,53864
201804,KLM Royal Dutch Airlines,International,29170
201806,Korean Air Lines,International,33992
201908,Norwegian Air UK Ltd,International,13659
201805,Finnair,International,5430
201902,American Airlines,Domestic,278152
201807,United Airlines,Domestic,1839225
201907,Hawaiian Airlines,Domestic,32939
201902,Sun Country Airlines,Domestic,4224
201803,Compass Airlines,Domestic,68160
201906,Alaska Airlines,International,18251
201810,Asiana Airlines,International,16656
201803,Southwest Airlines,Domestic,308577
201806,Air China,International,18213
201808,Asiana Airlines,International,16834
201909,Lufthansa German Airlines,International,44408
201907,French Bee,International,12830
201904,Singapore Airlines,International,28022
201806,Hong Kong Airlines Limited,International,9258
201907,Thomas Cook Airlines,International,7519
201811,Asiana Airlines,International,16138
201901,SAS Airlines,International,10469
201809,Air Canada,International,89476
201802,KLM Royal Dutch Airlines,International,14113
201803,Air India Limited,International,13456
201804,China Eastern,International,19427
201808,XL Airways France,International,8644
201906,"COPA Airlines, Inc.",International,17428
201908,Aer Lingus,International,17011
201802,SkyWest Airlines,International,8833
201901,Aeromexico,International,27354
201808,Icelandair EHF,International,7028
201810,Icelandair EHF,International,6969
201805,Swiss International,International,19517
201811,All Nippon Airways,International,12856
201903,Air Canada,International,71224
201907,Virgin Atlantic,International,26237
201812,JetBlue Airways,Domestic,122390
201811,Japan Airlines,International,12484
201811,Delta Air Lines,Domestic,320890
201908,Air New Zealand,International,12687
201811,China Southern,International,16593
201906,ABC Aerolineas S.A. de C.V. dba Interjet,International,12058
201908,Qantas Airways,International,24865
201905,Horizon Air,Domestic,30108
201808,Air Pacific Limited dba Fiji Airways,International,5326
201811,Alaska Airlines,Domestic,509215
201902,Air India Limited,International,15128
201810,Air Pacific Limited dba Fiji Airways,International,3346
201907,Compass Airlines,Domestic,21043
201804,All Nippon Airways,International,11847
201907,Iberia,International,12860
201907,Southwest Airlines,Domestic,308704
201906,Air China,International,25670
201803,Hawaiian Airlines,Domestic,32149
201808,KLM Royal Dutch Airlines,International,33504
201908,British Airways,International,42015
201807,Volaris Airlines,International,5555
201810,KLM Royal Dutch Airlines,International,28788
201806,Alaska Airlines,International,26716
201804,Japan Airlines,International,11822
201804,Delta Air Lines,Domestic,336962
201804,China Southern,International,15367
201808,SkyWest Airlines,International,5079
201902,Philippine Airlines,International,19666
201904,JetBlue Airways,Domestic,120820
201905,Lufthansa German Airlines,International,42725
201804,Alaska Airlines,Domestic,170508
201810,SkyWest Airlines,International,10997
201807,Frontier Airlines,Domestic,23380
201909,JetBlue Airways,Domestic,108905
201907,Sun Country Airlines,Domestic,36813
201902,Hawaiian Airlines,Domestic,27118
201905,Singapore Airlines,International,29569
201902,French Bee,International,6808
201908,United Airlines,International,486549
201804,Asiana Airlines,International,15564
201906,Korean Air Lines,International,29635
201906,SkyWest Airlines,Domestic,360349
201803,Philippine Airlines,International,21757
201906,WestJet Airlines,International,30654
201802,Air Pacific Limited dba Fiji Airways,International,1788
201806,WOW Air,International,18421
201811,China Eastern,International,18777
201907,American Airlines,Domestic,339520
201810,Hawaiian Airlines,Domestic,31457
201903,Norwegian Air UK Ltd,International,649
201909,El Al Israel Airlines LTD.,International,4393
201804,Sun Country Airlines,Domestic,12220
201803,KLM Royal Dutch Airlines,International,20591
201808,Hawaiian Airlines,Domestic,32653
201907,Asiana Airlines,International,17617
201808,French Bee,International,13098
201806,Finnair,International,6167
201810,French Bee,International,11735
201805,Air China,International,18651
201803,SkyWest Airlines,International,12147
201802,Air India Limited,International,10035
201804,American Airlines,Domestic,311126
201812,Frontier Airlines,Domestic,27591
201901,British Airways,International,30939
201804,Iberia,International,1352
201804,Southwest Airlines,Domestic,320077
201804,Compass Airlines,Domestic,55919
201805,WestJet Airlines,International,21421
201907,All Nippon Airways,International,14667
201905,Emirates,International,26447
201902,KLM Royal Dutch Airlines,International,15019
201905,China Airlines,International,18553
201811,Virgin Atlantic,International,22317
201812,Volaris Airlines,International,4902
201907,Delta Air Lines,Domestic,476605
201907,Japan Airlines,International,13227
201805,Korean Air Lines,International,28998
201805,SkyWest Airlines,Domestic,279883
201907,China Southern,International,19119
201808,Philippine Airlines,International,22511
201902,SkyWest Airlines,International,10420
201907,Alaska Airlines,Domestic,524790
201810,Philippine Airlines,International,20372
201901,United Airlines,International,345972
201811,Compass Airlines,Domestic,33530
201902,Icelandair EHF,International,3941
201802,Hawaiian Airlines,Domestic,27607
201805,"COPA Airlines, Inc.",International,19251
201903,Jazz Aviation,International,15529
201811,Iberia,International,4616
201811,Southwest Airlines,Domestic,285343
201809,Air France,International,39813
201908,Aeromexico,International,32285
201901,Aer Lingus,International,11892
201807,JetBlue Airways,Domestic,154270
201903,Cathay Pacific,International,46776
201909,Frontier Airlines,Domestic,45854
201804,Virgin Atlantic,International,22235
201905,EVA Airways,International,50347
201810,Air India Limited,International,15411
201902,Air Pacific Limited dba Fiji Airways,International,2799
201808,Air India Limited,International,15318
201905,TACA,International,15374
201908,SAS Airlines,International,13609
201905,Turkish Airlines,International,19391
201811,Sun Country Airlines,Domestic,12753
201901,Qantas Airways,International,23980
201905,United Airlines,Domestic,1521868
201809,Jazz Aviation,International,14171
201901,Air New Zealand,International,16750
201903,Air France,International,17618
201805,ABC Aerolineas S.A. de C.V. dba Interjet,International,3846
201809,Cathay Pacific,International,39078
201904,Frontier Airlines,Domestic,28459
201803,Air Pacific Limited dba Fiji Airways,International,2232
201802,Philippine Airlines,International,19035
201811,American Airlines,Domestic,333783
201906,Swiss International,International,18295
201907,China Eastern,International,21141
201802,Virgin Atlantic,International,15581
201803,Alaska Airlines,Domestic,79214
201909,Emirates,International,25577
201808,American Airlines,Domestic,359546
201803,Delta Air Lines,Domestic,271366
201809,British Airways,International,41388
201810,American Airlines,Domestic,329692
201803,Japan Airlines,International,12923
201909,China Airlines,International,16867
201803,China Southern,International,16546
201903,United Airlines,International,367554
201812,United Airlines,Domestic,1390933
201805,WOW Air,International,15259
201810,Sun Country Airlines,Domestic,9754
201808,Sun Country Airlines,Domestic,16360
201804,Hawaiian Airlines,Domestic,31322
201902,Asiana Airlines,International,16049
201803,All Nippon Airways,International,13772
201805,Alaska Airlines,International,27778
201902,Delta Air Lines,Domestic,256509
201902,Japan Airlines,International,11546
201905,El Al Israel Airlines LTD.,International,2948
201902,China Southern,International,16122
201812,EVA Airways,International,49795
201804,Philippine Airlines,International,25110
201811,Air India Limited,International,15714
201812,TACA,International,15294
201903,British Airways,International,33842
201907,SkyWest Airlines,International,561
201902,Alaska Airlines,Domestic,421509
201809,United Airlines,International,337440
201812,Turkish Airlines,International,19455
201803,Asiana Airlines,International,16189
201808,Iberia,International,7070
201808,Southwest Airlines,Domestic,337749
201810,Compass Airlines,Domestic,49089
201902,All Nippon Airways,International,11875
201807,Horizon Air,Domestic,12754
201808,Compass Airlines,Domestic,44925
201904,China Airlines,International,18370
201810,Iberia,International,602
201810,Southwest Airlines,Domestic,326531
201907,KLM Royal Dutch Airlines,International,32849
201904,Emirates,International,24691
201906,Finnair,International,8892
201810,Virgin Atlantic,International,25811
201909,TAP Air Portugal,International,9702
201909,United Airlines,Domestic,1315311
201904,TACA,International,14981
201808,Virgin Atlantic,International,35088
201803,China Eastern,International,20381
201904,Turkish Airlines,International,17405
201806,Swiss International,International,19694
201908,Air Canada,International,108745
201811,Philippine Airlines,International,20803
201804,Air India Limited,International,15543
201904,EVA Airways,International,46179
201802,American Airlines,Domestic,264234
201907,Air Pacific Limited dba Fiji Airways,International,6498
201802,Sun Country Airlines,Domestic,5626
201903,Qantas Airways,International,23215
201807,Lufthansa German Airlines,International,44429
201903,Air New Zealand,International,16840
201907,Icelandair EHF,International,8298
201812,Emirates,International,26129
201901,Air France,International,15677
201812,China Airlines,International,18523
201809,Aer Lingus,International,16152
201906,Air Italy S.P.A,International,5676
201807,Singapore Airlines,International,29574
201902,China Eastern,International,19086
201905,Frontier Airlines,Domestic,41303
201805,Hong Kong Airlines Limited,International,9684
201907,XL Airways France,International,8389
201802,Compass Airlines,Domestic,49904
201809,Qantas Airways,International,21858
201809,Air New Zealand,International,17944
201811,Hawaiian Airlines,Domestic,30878
201901,Jazz Aviation,International,12037
201909,EVA Airways,International,40965
201802,Southwest Airlines,Domestic,262820
201904,United Airlines,Domestic,1478456
201810,Thomas Cook Airlines,International,4489
201808,Thomas Cook Airlines,International,6671
201811,French Bee,International,8826
201903,Aer Lingus,International,15210
201909,Turkish Airlines,International,19606
201901,Cathay Pacific,International,54570
201909,TACA,International,13572
201808,China Airlines,International,19846
201904,Compass Airlines,Domestic,37535
201805,Aeromexico,International,25391
201806,Jazz Aviation,International,15089
201904,Iberia,International,8986
201904,Southwest Airlines,Domestic,273085
201909,American Airlines,Domestic,334273
201803,Singapore Airlines,International,26718
201810,China Airlines,International,17995
201802,United Airlines,Domestic,1148556
201906,Aer Lingus,International,17930
201908,"COPA Airlines, Inc.",International,14359
201808,Emirates,International,28157
201810,Emirates,International,24069
201806,Cathay Pacific,International,47385
201803,Virgin America,Domestic,510016
201902,Lufthansa German Airlines,International,32090
201905,Philippine Airlines,International,33222
201805,SAS Airlines,International,13824
201811,Volaris Airlines,International,3807
201812,Virgin Atlantic,International,22004
201907,JetBlue Airways,Domestic,124610
201909,Sun Country Airlines,Domestic,14956
201904,Sun Country Airlines,Domestic,14017
201908,ABC Aerolineas S.A. de C.V. dba Interjet,International,11526
201905,French Bee,International,10888
201906,Qantas Airways,International,25145
201906,Air New Zealand,International,13207
201806,Air France,International,41824
201902,Singapore Airlines,International,25599
201905,Hawaiian Airlines,Domestic,30822
201807,China Eastern,International,20947
201802,TACA,International,11001
201811,Frontier Airlines,Domestic,25617
201802,Turkish Airlines,International,17002
201909,Compass Airlines,Domestic,9647
201901,Swiss International,International,17322
201803,Lufthansa German Airlines,International,43107
201904,American Airlines,Domestic,316871
201909,Iberia,International,13599
201909,Southwest Airlines,Domestic,248234
201802,EVA Airways,International,41716
201802,China Airlines,International,22382
201812,Sun Country Airlines,Domestic,16782
201810,United Airlines,Domestic,1576961
201909,Virgin Atlantic,International,26540
201808,United Airlines,Domestic,1850238
201802,Emirates,International,24785
201804,Frontier Airlines,Domestic,21368
201812,American Airlines,Domestic,327957
201803,Horizon Air,Domestic,16382
201906,British Airways,International,43118
201908,Air China,International,25446
201807,Asiana Airlines,International,18258
201807,Delta Air Lines,Domestic,467105
201807,Japan Airlines,International,13380
201807,China Southern,International,21339
201812,Compass Airlines,Domestic,41819
201809,Finnair,International,5279
201812,Iberia,International,5079
201812,Southwest Airlines,Domestic,272092
201807,Alaska Airlines,Domestic,592109
201908,WestJet Airlines,International,27512
201808,TACA,International,13446
201905,Air India Limited,International,16267
201904,Virgin Atlantic,International,22784
201807,All Nippon Airways,International,14718
201909,Thomas Cook Airlines,International,4497
201808,Turkish Airlines,International,20261
201902,Horizon Air,Domestic,17459
201810,Turkish Airlines,International,19614
201810,TACA,International,12842
201808,EVA Airways,International,55830
201906,United Airlines,International,482241
201810,EVA Airways,International,43421
201908,Korean Air Lines,International,29614
201804,Volaris Airlines,International,5689
201908,SkyWest Airlines,Domestic,356141
201812,Air India Limited,International,16494
201805,Air Canada,International,80937
201807,Icelandair EHF,International,7327
201802,Frontier Airlines,Domestic,34232
201811,TACA,International,15276
201811,Turkish Airlines,International,18319
201907,Lufthansa German Airlines,International,45411
201909,French Bee,International,12669
201909,Hawaiian Airlines,Domestic,26039
201903,Swiss International,International,17374
201904,Philippine Airlines,International,18390
201902,JetBlue Airways,Domestic,108377
201811,EVA Airways,International,47564
201806,Qantas Airways,International,16728
201804,China Airlines,International,18521
201806,Air New Zealand,International,17811
201905,Compass Airlines,Domestic,26800
201804,Emirates,International,24291
201807,Air Pacific Limited dba Fiji Airways,International,6851
201905,Iberia,International,10440
201905,Southwest Airlines,Domestic,278053
201906,Air France,International,44169
201803,JetBlue Airways,Domestic,141706
201908,Hong Kong Airlines Limited,International,10205
201905,American Airlines,Domestic,356405
201802,Volaris Airlines,International,6968
201809,Swiss International,International,18885
201904,Hawaiian Airlines,Domestic,30552
201906,Jazz Aviation,International,19262
201909,Philippine Airlines,International,17097
201811,United Airlines,Domestic,1385135
201905,Sun Country Airlines,Domestic,18580
201906,Cathay Pacific,International,49416
201807,XL Airways France,International,8160
201806,Aer Lingus,International,16956
201904,French Bee,International,11389
201907,Singapore Airlines,International,32764
201808,Frontier Airlines,Domestic,27197
201810,Frontier Airlines,Domestic,25833
201806,United Airlines,International,413484
201905,Thomas Cook Airlines,International,4216
201909,Air India Limited,International,14923
201812,French Bee,International,15939
201812,Hawaiian Airlines,Domestic,37775
201804,United Airlines,Domestic,1522456
201907,Horizon Air,Domestic,32398
201804,TACA,International,12283
201804,Turkish Airlines,International,18823
201812,Philippine Airlines,International,26310
201904,Air India Limited,International,15141
201905,Virgin Atlantic,International,24081
201807,KLM Royal Dutch Airlines,International,31377
201810,Volaris Airlines,International,3969
201908,Alaska Airlines,International,18416
201804,EVA Airways,International,43894
201808,Volaris Airlines,International,4616
201806,British Airways,International,42667
201811,China Airlines,International,18605
201906,Norwegian Air UK Ltd,International,13251
201807,SkyWest Airlines,International,5126
201811,Emirates,International,25021
201907,TACA,International,16200
201804,Horizon Air,Domestic,17230
201812,SkyWest Airlines,International,16833
201811,Lufthansa German Airlines,International,37961
201907,Turkish Airlines,International,20091
201803,Frontier Airlines,Domestic,38326
201907,EVA Airways,International,36433
201904,Air Pacific Limited dba Fiji Airways,International,6008
201909,XL Airways France,International,2166
201812,KLM Royal Dutch Airlines,International,16704
201904,Icelandair EHF,International,5956
201807,Philippine Airlines,International,28310
201903,Korean Air Lines,International,25637
201903,SkyWest Airlines,Domestic,393223
201809,Air China,International,18544
201803,Volaris Airlines,International,8575
201902,Frontier Airlines,Domestic,20626
201807,Hawaiian Airlines,Domestic,32855
201905,China Eastern,International,19981
201807,French Bee,International,11416
201809,WestJet Airlines,International,18355
201802,JetBlue Airways,Domestic,121645
201909,Icelandair EHF,International,7080
201908,Finnair,International,8674
201909,Air Pacific Limited dba Fiji Airways,International,5490
201907,TAP Air Portugal,International,10878
201907,United Airlines,Domestic,1760331
201809,Korean Air Lines,International,24459
201809,SkyWest Airlines,Domestic,275268
201901,Alaska Airlines,International,19614
201903,Air China,International,18893
201811,Singapore Airlines,International,25807
201903,ABC Aerolineas S.A. de C.V. dba Interjet,International,10786
201909,KLM Royal Dutch Airlines,International,36337
201805,Air France,International,37573
201908,Air Italy S.P.A,International,6955
201804,Virgin America,Domestic,403515
201809,"COPA Airlines, Inc.",International,16411
201905,Asiana Airlines,International,16184
201909,SkyWest Airlines,International,3330
201906,Air Canada,International,98126
201804,Singapore Airlines,International,25285
201811,Horizon Air,Domestic,15207
201805,Cathay Pacific,International,47304
201809,ABC Aerolineas S.A. de C.V. dba Interjet,International,4832
201905,Alaska Airlines,Domestic,486511
201804,Lufthansa German Airlines,International,42659
201812,Air Pacific Limited dba Fiji Airways,International,4978
201810,JetBlue Airways,Domestic,109750
201806,Aeromexico,International,25799
201905,Delta Air Lines,Domestic,391391
201904,SkyWest Airlines,International,13982
201905,Japan Airlines,International,13286
201808,JetBlue Airways,Domestic,128901
201805,Jazz Aviation,International,14652
201903,"COPA Airlines, Inc.",International,15884
201905,China Southern,International,17639
201901,Hong Kong Airlines Limited,International,8903
201907,China Airlines,International,20665
201806,SAS Airlines,International,14186
201807,Air India Limited,International,11307
201812,Icelandair EHF,International,6043
201904,KLM Royal Dutch Airlines,International,31007
201905,All Nippon Airways,International,12899
201907,Emirates,International,29226
201805,British Airways,International,40074
201803,United Airlines,Domestic,1452520
201909,China Eastern,International,17907
201903,Alaska Airlines,International,18806
201901,Air China,International,19827
201812,All Nippon Airways,International,13402
201905,Icelandair EHF,International,6547
201802,Singapore Airlines,International,21937
201807,Iberia,International,6546
201807,Southwest Airlines,Domestic,351397
201902,TACA,International,14095
201810,Horizon Air,Domestic,11772
201812,Alaska Airlines,Domestic,492973
201902,Turkish Airlines,International,17487
201807,Compass Airlines,Domestic,42313
201808,Horizon Air,Domestic,12375
201905,Air Pacific Limited dba Fiji Airways,International,6033
201802,Virgin America,Domestic,401223
201902,EVA Airways,International,44395
201811,JetBlue Airways,Domestic,118800
201812,Delta Air Lines,Domestic,317961
201812,Japan Airlines,International,12080
201809,WOW Air,International,16715
201812,China Southern,International,18691
201812,Asiana Airlines,International,16894
201805,United Airlines,International,328791
201807,American Airlines,Domestic,368421
201901,Korean Air Lines,International,29444
201901,SkyWest Airlines,Domestic,312876
201809,Alaska Airlines,International,14781
201902,United Airlines,Domestic,1084550
201907,Frontier Airlines,Domestic,52597
201807,Sun Country Airlines,Domestic,19380
201803,EVA Airways,International,45464
201802,Lufthansa German Airlines,International,36059
201803,TACA,International,12962
201803,Turkish Airlines,International,19604
201904,China Eastern,International,19528
201909,Alaska Airlines,Domestic,444282
201903,Hong Kong Airlines Limited,International,8534
201803,Emirates,International,27378
201904,Asiana Airlines,International,14998
201808,Singapore Airlines,International,28798
201803,China Airlines,International,23190
201810,Singapore Airlines,International,25796
201909,China Southern,International,16746
201909,Delta Air Lines,Domestic,370957
201906,SAS Airlines,International,13980
201909,Japan Airlines,International,12913
201802,Horizon Air,Domestic,12517
201805,Aer Lingus,International,14384
201812,China Eastern,International,19756
201906,Aeromexico,International,34654
201807,Thomas Cook Airlines,International,8077
201909,All Nippon Airways,International,12392
201901,"COPA Airlines, Inc.",International,18908
201902,China Airlines,International,16762
201809,Hong Kong Airlines Limited,International,9689
201807,Virgin Atlantic,International,36085
201904,All Nippon Airways,International,11774
201905,KLM Royal Dutch Airlines,International,31757
201902,Emirates,International,24712
201806,Air Canada,International,101232
201908,Swiss International,International,19773
201808,Lufthansa German Airlines,International,45450
201901,ABC Aerolineas S.A. de C.V. dba Interjet,International,12588
201909,Asiana Airlines,International,14256
201810,Lufthansa German Airlines,International,44180
201904,Delta Air Lines,Domestic,340287
201904,Japan Airlines,International,12179
201905,SkyWest Airlines,International,12957
201904,China Southern,International,17533
201907,El Al Israel Airlines LTD.,International,5769
201904,Alaska Airlines,Domestic,465169
201805,Qantas Airways,International,15223
201804,JetBlue Airways,Domestic,140627
201805,Air New Zealand,International,17761
